topic,ejemplo,comentario
13,3,con vox a por todas. viva españa y viva vox. 🇪🇸🇪🇸🇪🇸💚💚💚
14,1,así es rusia !!!! así se hace !!!
14,2,yo en rusia estaría muertisima ._.
14,3,rusia! rusia! rusia!
15,1,dios que policía tan paciente
15,2,policía rambo jjajajaja
15,3,"por necia , bien el policía"
16,1,"hola yo,cuando agote los dos años de paro que me correspondian y luego las diferentes subvenciones del rai,justo al mes siguiente me tocaba cobrar la subvencion por mayor de 52 años,pero justo en ese mes,al graciosillo de rajoy le dio por quitarla y pasarla a mayores de 55 años.primera traba.poco mas tarde, me entere de que aqui,en valencia,daban la renta garantizada de ciudadania,indagando mucho para enterarme porque no lo anuncian a bombos y platillos,no.cobre un año entero de golpe despues de esperar año y medio,mientras,no me mori de hambre porque me fui a vivir a casa de mi madre,ya que el banco me quito el piso por no poder pagar.como cobre esa ayuda en una cuenta que no usaba para nada,claro,no habia dinero,no me entere que habia recibido ese dinero.al enterarme,al cabo del tiempo,volvi a solicitar esa ayuda,pero me dijeron que tenia que haberla pedido nada mas recibirla la primera vez.al retrasarme,ya no tenia derecho a pedirla.como se come eso? pues,asi,sin pan ni cuchara.segunda traba. al cumplir los 55 años,pedi entonces lo que rajoy me fastidio con los 52 años y me dijeron que era una subvencion del paro de 430 euros,que tambien se cotiza con ella para la jubilacion pero que tengo que jubilarme a los 61 años.vale.resulta que para cobrarla,tenia que tener anteriormente un contrato de trabajo de 3 meses.tercera traba.lo consegui trabajando de camarero en un restaurante chino 3 meses.hace unas semanas,pedi una ayuda que dan a quien trabaja y no llega al sueldo base,se lo completan con esa ayuda,tambien la dan a las victimas de violencia de genero y a otras personas que reciben una paga demasiado baja, menos que el sueldo base tambien.despues de dos y tres veces a la asistente social,cada vez me decian una cosa,me mandaron  al prop,de alli a unas oficinas de la generalitat,luego otra vez al prop,y,a la tercera vez que fui a la generalitat,me dijeron que a mi no me pertenecia,porque mi subvencion era del paro.cuarta traba.total,que yo no tengo derecho a comer y otros si,cobrando  mas que yo,que el año que viene puede que tenga derecho,si sacan una ley para ello..a que a los ilegales no les ponen tantas trabas? trabaje 27 años,veremos lo que cobrare al jubilarme tengo 58 años"
16,2,"con 1074 € no buscarán trabajo en su vida,"
16,3,y el trabajo donde está .
17,1,todos musulmanes que cosas
17,2,no a los musulmanes.
17,3,ya no más musulmanes
18,1,lo que no se puede es que ahora los extranjeros tienen mas ayudas y derechos que los propios españoles. no se que esperaban 😮
18,2,"es injusto igualar en derechos al que viene de fuera con respecto al español. es muy simple, el español a cotizado toda su vida y antes que el cotizo su padre y antes su abuelo. y esto nunca lo podra decir el migrante. la nación española la hemos construido los españoles para los españoles, y no para el que venga de fuera. es lo mismo que si un alcalde de una población exige que cojas a tus hijos y los obligues a compartir todo con unos hijos de un desconocido, los metas en tu casa, les des de comer, les pagues la escuela, la comida, la ropa, todo, eso seria injusto, porque tu economía no alcanza para algo así, y lógicamente primero son tus hijos antes que los hijos de un desconocido. de la misma manera esta llegada masiva e injusta de migrantes a los que cada vez se les subvenciona mas y mas es totalmente injusto y discriminatorio para el español. en la medida en que se les den derechos y ventajas a los migrantes se los están quitando a muchos españoles en situación de precariedad. ya no se puede acallar la realidad de que muchísimas ongs prefieren por sistema ayudar al migrante que al español, y todavía se tiene el cinismo de llamarlo discriminación positiva. esto es aberrante y suicida para nuestro pais. asi encima se produce el efecto llamada creando una ilusión en el tercer mundo de que esto es jauja, pues nada mas saltar la frontera ya tienes medico y sanidad gratuita, eso si a costa de los impuestos del trabajador español, y asi mas y mas como la paguita, subvención viviendas, etc, creando una verdadera plaga de parásitos caraduras que vienen ya crecidos creyendo que tienen derecho a todo y olvidando que no tienen tales derechos por el hecho de que se les deje entrar por caridad y encima se atreven a protestar. esto es un suicidio y una autentica imbecilidad impuesta desde el exterior por personajes malnacidos como el viejo george soros que solo busca destruir europa y sus señas de identidad . y el colmo es que se prefieran supuestos refugiados musulmanes antes que cristianos. la gente ya esta harta de tanto inmigrante que ademas defraudan los que mas, y constituyen el problema numero uno de españa y europa. no a la inmigracion, cierre de fronteras, y ordenamiento de todos los que ya han entrado expulsando a una buena parte de ellos que son ilegales, deportación inmediata de todo el que cometa un delito aunque sea menor. tolerancia cero con los migrantes musulmanes. ¿porque la clase política traidora no hace un referendum sobre inmigración? pues esta claro porque la mayoría de los españoles votarían por el cierre de frontera y la deportación de una gran cantidad de los que se han colado, que solo vienen a pillar todo cuanto puedan descaradamente. no a la inmigracion. los españoles por derecho natural somos primero, le disguste a quien le disguste...."
18,3,"es injusto igualar en derechos al que viene de fuera con respecto al español. es muy simple, el español a cotizado toda su vida y antes que el cotizo su padre y antes su abuelo. y esto nunca lo podra decir el migrante. la nación española la hemos construido los españoles para los españoles, y no para el que venga de fuera. es lo mismo que si un alcalde de una población exige que cojas a tus hijos y los obligues a compartir todo con unos hijos de un desconocido, los metas en tu casa, les des de comer, les pagues la escuela, la comida, la ropa, todo, eso seria injusto, porque tu economía no alcanza para algo así, y lógicamente primero son tus hijos antes que los hijos de un desconocido. de la misma manera esta llegada masiva e injusta de migrantes a los que cada vez se les subvenciona mas y mas es totalmente injusto y discriminatorio para el español. en la medida en que se les den derechos y ventajas a los migrantes se los están quitando a muchos españoles en situación de precariedad. ya no se puede acallar la realidad de que muchísimas ongs prefieren por sistema ayudar al migrante que al español, y todavía se tiene el cinismo de llamarlo discriminación positiva. esto es aberrante y suicida para nuestro pais. asi encima se produce el efecto llamada creando una ilusión en el tercer mundo de que esto es jauja, pues nada mas saltar la frontera ya tienes medico y sanidad gratuita, eso si a costa de los impuestos del trabajador español, y asi mas y mas como la paguita, subvención viviendas, etc, creando una verdadera plaga de parásitos caraduras que vienen ya crecidos creyendo que tienen derecho a todo y olvidando que no tienen tales derechos por el hecho de que se les deje entrar por caridad y encima se atreven a protestar. esto es un suicidio y una autentica imbecilidad impuesta desde el exterior por personajes malnacidos como el viejo george soros que solo busca destruir europa y sus señas de identidad . y el colmo es que se prefieran supuestos refugiados musulmanes antes que cristianos. la gente ya esta harta de tanto inmigrante que ademas defraudan los que mas, y constituyen el problema numero uno de españa y europa. no a la inmigracion, cierre de fronteras, y ordenamiento de todos los que ya han entrado expulsando a una buena parte de ellos que son ilegales, deportación inmediata de todo el que cometa un delito aunque sea menor. tolerancia cero con los migrantes musulmanes. ¿porque la clase política traidora no hace un referendum sobre inmigración? pues esta claro porque la mayoría de los españoles votarían por el cierre de frontera y la deportación de una gran cantidad de los que se han colado, que solo vienen a pillar todo cuanto puedan descaradamente. no a la inmigracion. los españoles por derecho natural somos primero, le disguste a quien le disguste...."
19,1,presidente!! tiempo al tiempo...
19,2,vamos presidente palante
19,3,este si sería un presidente
20,1,gracias por la información
20,2,muchas gracias por su información 😊
20,3,bendiciones 🙏 muy buena su información
21,1,verdades como puños!!!!🙂
21,2,verdades como puños. repratacion.
21,3,verdades como puños. viva vox
22,1,que hace isco en italia
22,2,el italiano se parece mucho al valenciano.
22,3,voglio imparare italiano e viaggiare in italia :d
23,1,"el que dice que no, ese, ese el racista"
23,2,lo veo como muy racista el video
23,3,"no es racismo, ellos son los racistas"
24,1,"no entiendo. por qué un niño iba a crecer mejor con un padre y una madre que con 2 padres o 2 madres? lo importante es que haya amor, y hay hijos de parejas heterosexuales que han sufrido violencia. de hecho creo que hay muchas más probabilidades de que un niño crezca mejor en una pareja homosexual, ya que le enseñarán a no discriminar a nadie, cosa que no se puede garantizar en una pareja heterosexual."
24,2,"esta claro y demostrado que los niños no tienen prejuicios , los mayores si los tienen, por lo cual los niños se van a sentir bien en cualquier familia ya sea esta heterosexual, o homosexual, la figura del padre o de la madre son solo roles impuestos, el niño no necesita de tener un padre y una madre, de hecho esta más que estudiado que los hijos criados en familia homosexuales son lo mismo o mas felices que en familias heterosexuales, acaso no son las familias heterosexuales las que abortan  matan, a sus hijos, los maltratan, los abandonan y estos niños son adoptados muchos por familias parejas heterosexuales donde van a recibir amor y cuidados cosa que las familias heterosexuales no han hecho. y todos los homosexuales vienen de familias heterosexuales o por lo menos con padre y madre, por lo cual no va existir ningun riego de que pueda ser mas homosexual, aparte esto ya viene de nacimiento en la mayoria de los casos es bioligico."
24,3,son solo niños de 5 o 7 años no puede ser que pensemos que está bien que un niño se declare gay
25,1,¿donde está la película?
25,2,y la película de esto?
25,3,es una película amateur?
26,1,la homosexualidad nl es un delito pero si un pecado
26,2,una pregunta¿ la homosexualidad es pecado? por qué ya también soy homosexual
26,3,"el que es pecador  no es hijo de dios ,y la homosexualidad es pecado así esta dicho"
27,1,que bueno es el amor😢
27,2,no confundas intensidad con amor ❤️💔🇨🇺
27,3,esa **** no es amor es vanidad!!
28,1,gracias argentina desde españa ❤
28,2,momenos que españa recurrio a argentina.
28,3,que bueno que no esta argentina
29,1,"en noviembre aquí el chato maracatungo se presenta y que se repitan 20 o 400 veces hasta que gane, jajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja que país, jajaja jajajaja jajajaja jajajaja jajajaja,"
29,2,jajaja jajaja jajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja
29,3,jajaja jajajaja jajajaja
30,1,es rami malek de mujer
30,2,xfin una mujer tiene la rszon
30,3,porque la chica se parase a rubius
31,1,no se me rinda polonia 💪🏻
31,2,muy bien polonia!!!!
31,3,bien por polonia!! 🙌❤
32,1,migliori dell europa 💣💯
32,2,europa no seas inumana
32,3,quienes trafican personas a europa
33,1,"xsi pues,y muchos desconocen q el comunismo es homofono"
33,2,exterminar al comunismo
33,3,nos salvaron del comunismo
34,1,"happy new year lads! 
thank you for being one of the best highlights of last year! i'm looking forward to seeing you live several times this year and i'm excited to see what you've got in store for us with your channel!"
34,2,"new year, new sketch! can't wait for what's to come this year :)"
34,3,"first great sketch of the year, looking forward to many more 😂 happy new year lads 🎉"
35,1,"el trabajo os hará verdaderos hombres, así de simple."
35,2,el trabajo os hará hombres 🇨🇺
35,3,este señor es in genio.
36,1,"soy ciudadana ya vivo en cuba ,estoy inscrita n galicia,ourense y me gustaria irme a vivir con mi esposo para allá"
36,2,soy ciudadana española pero vivo cuba pertenezco a galicia me interesa emigrar para trabajar allá q hacer
36,3,yo soy ciudadana española vivo en cuba como puedo entrar en el programa
37,1,yolanda diciendo a las mujeres jovenes y encima convenciendolas de que no pueden llegar a ser lo que quieren....hoy en dia mujeres trabajando en el gobierno....mujeres policias...mujeres empresarias...mujeres muy ricas...mujeres en formula 1...mujeres camioneras...mujeres futbolistas....mujeres medicos...mujeres boberos...y mas y mas mujeres.....y esta yolanda haciendo creer y criando a jovenes para que sean unas borregas y se crean toda la pintomina que el hombre es malo...que el hombre es un asesino ect...ect...ni las mujeres te van a votar señorita yolanda
37,2,"mejor cuenta como tratáis a las mujeres en tu país, morenito."
37,3,olvidate de las mujeres y vuelcate en controlas los padrones o ganaran
38,1,tiene risa de prota malo de anime xd
38,2,morí de risa no no no está muy bueno.
38,3,que cagu…. de risa p… mm😅😅😅
39,1,aplícate el cuento cintora desde el minuto 8:25
39,2,"yo en el minuto 4:20 ""!!! callece señoraa!!"""
39,3,cómo decir por lo menos 5 herejías en menos de un minuto.
40,1,😂😂😂😂 ken  made en china
40,2,ken made in china jajajaaj
40,3,ken made in china 😂😂😂😂
41,1,viva la gente de madrid!!
41,2,vox pacta en madrid con el ppodrido...es lo mismo
41,3,madrid está es españa?
42,1,a llorar a la llorería
42,2,si mi hiso llorar pero de ....
42,3,también a los que la escuchamos nos hace llorar. uffff
43,1,hay más migrantes de españa en mexico que mexicanos en españa
43,2,méxico los adopta y los quiere siempreseran mexicanos
43,3,"ironico, q hay mas españoles en mexico, q mexicanos en españa."
44,1,los periodistas sois unos esbirros del sistema!
44,2,"es el mejor político que tenemos en españa, los periodistas no son imparciales, generalmente van todos contra vox, yo por eso he dejado escuchar a carlos, yo lo admiraba mucho,  pero deje de escucharle. en esta entrevista sea moderado, pero la mayoría de las veces arremete contra vox, como los demás periodistas q son todos extremista. hace unos años los periodistas trataban de ser más imparcial pero ahora no."
44,3,"si abascal no le gusta los ""medios de comunicación"" como sexta será porque no lo sois, sobre todo con este tipo de ridiculeces"
45,1,y es una vergüenza???
45,2,qué vergüenza españa!
45,3,le tiene miedo a la pala
46,1,"el finaaaaal
jajajaja"
46,2,no macayo!!! jajajaja
46,3,jajajaja jajajaja 😆 q vas a hacer con el carrito pregunta maddie 😂
47,1,"i dont understand spanish but i think this made me cry.. beautiful.. my country before where i live is full of homophobia. 20 years in prison for other religion and hang to death for islam. i was scared for all my life long.. since i was a kid.. i am confused and scared alot .. but 5+ years ago i found the love of my life , we are married 3 years ago.. in europe.. for to do so i told my parents that i have a job in europe.. my father was againts homosexuality he once said "" if i found them around i will shoot them "" thats how much hate he had towards them lgbt.."
47,2,"i'd like to thank the people of spain, and the people in this video in particular, for being such a shining beacon of acceptance. it really makes me feel good to know that there are people out there like you. i myself am not lgbt, but i support them. people shouldn't have to live in fear because of how they are. bravo to you, spain."
47,3,"hola, queridos amigos españoles, soy italiano y, a veces, me da vergüenza, esta es una de esas veces. los jóvenes no pueden expresarse, tienen una vida social hecha por los amigos a su alrededor y dicen algo en favor de la comunidad lgtb, para ellos sería como ser etiquetados, burlados y despedidos públicamente, porque ""si eres un amigo gay eres gay también"". ! ""
en italia hay muchos homosexuales, pero secretamente, no es raro leer acerca de los ataques contra personas homosexuales fuera de los clubes gay, por eso no pueden hablar libremente. también hay historias sobre jóvenes que han tenido que cambiar de ciudad y que han sido abandonados por sus familias, cuando un hombre gay camina en la calle con claras actitudes afeminadas, a menudo he visto la mirada pesada de personas cargadas de juicio o de lo contrario se ríen. ser gay en italia es difícil, españa está muy adelante. amo a españa por muchos otros motivos <3



hello dear spanish friends, i am italian and sometimes i am ashamed of it, this is one of those times. young people can not express themselves, they have a social life made by the friends around them and say something in favor of the lgtb community, for them it would be like being labeled, jeered and publicly dismissed, because ""if you are a gay friend you're gay too ! ""
in italy there are many gays but they are secretly, it is not uncommon to read about attacks on gay people outside gay clubs, that's why they can not speak freely. there are also stories about young people who have had to change cities and who have been abandoned by their families, when a gay man walks on the street in clear effeminate attitudes, i have often seen the heavy looks of people loaded with judgment or otherwise they laugh. being gay in italy is difficult, spain is far ahead. i love spain for many other reasons"
48,1,más falso q beso de suegra
48,2,"yo esperando el
beso 👎"
48,3,que ricoo eso beso sabrosos
49,1,grande roberto. se me ha quedado cara de bobo durante un buen rato :)
49,2,anoche estuvo el generalisimo el mismo el caudillo de cuerpo entero y presente en mi habitación  vino a visitarme y me cogió el coñ y me dejó un mensaje que no puedo revelar hasta que no sea el momento lo primero que me dijo esque no cambiaba el himno de españa porque no le salia desde los mismísimo cojones
49,3,el pana que sale del colchón sale con cara de asombro capaz y pensó que llego a su meta
50,1,"respeto hacia cualquiera...sin importar como sea el era el primero en faltar al respeto...gritando y amenazando...verguenza para el ""hetero"""
50,2,"no los apoyo ni los discrimino, yo los respeto porque son personas igual que todos y merecen respeto
me encanta la reaccion de las personas, fuera bueno que todos sean asi 👏👏👏"
50,3,el respeto que tienen los contrarios
51,1,una   guerra   por  qué  se  tuvo  que  derrocar  alguien  creo  yo  no
51,2,llamaré esto a “la guerra vietfobia”
51,3,seee.. por la guerra
52,1,"importas áfrica, tienes áfrica"
52,2,no no no es en áfrica
52,3,si melilla está en áfrica...es de los africanos. no es de españa.
53,1,tanto fascista resentido en youtube?
53,2,quien es este fascista?
53,3,eraes un fascista  en espania no secuestran
54,1,¿alguien sabe donde se puede ver la entrevista en el pardo con la cbs?
54,2,pero esta entrevista es verdad?
54,3,esto es una entrevista o un interrogatorio?
55,1,que fuerte me parece que los mayores tienen la mente mas abierta que los jovenes....
55,2,we los mayores tienen la mente mas abierta que los jóvenes :v
55,3,ole los dos señores mayores de mente más abierta que algunos jóvenes del vídeo
56,1,"hola como hago para aplicar soy venezolana y española gracias a mi padre nacido en sada a caruña, licenciada en administeacion trabaje en el banco de venezuela cuando era grupo santander"
56,2,hola yo estoy interezada somos una familia venezolana mi bisabuela era de galicia
56,3,hola soy venezolana interesada
57,1,cual es el ig del chico ?
57,2,"lo mejor de todo el carisma del chico
❤😂😂😂"
57,3,qué chico tan chévere ❤
58,1,"pablo motos fsscista, cangrena3"
58,2,pablo motos te veo y veo esclerosis multiple joeee
58,3,pablo motos no se q hace
59,1,que raro que venezuela no esta en ese top!!!... viva venezuela 🇻🇪
59,2,que se vaya a venezuela
59,3,venezuela tiene 410 y no esta
60,1,si no fuese por franco hoy seríamos como cuba
60,2,desde cuba que se debe hacer
60,3,"de cuba no se pueden escapa la gente, sería bueno hablar de ese tema."
61,1,saludos desde cucuta colombia
61,2,f por colombia y españa :(
61,3,más ultranacionalistas en colombia
62,1,me encanto saludos desde perú 😀😉🙂🙂
62,2,"viva perú y polonia, 🇯🇪🇵🇪🇵🇱💪🏻✝️"
62,3,son gente tan hermosa perú 💖😊💕✨
63,1,hasta yo me enamoro de blanca😍😍😍😍😍😍❤️
63,2,blanca es hermosaaaa
63,3,blanca y raquel hubiera sido mejor 🔥
64,1,a la cárcel con ellos
64,2,"no olvide cualquier compañero comentarista que tenga la bondad de leerme, que cuantos en este vídeo son denunciados por santi abascal, son los mismos, que en el 36 —la sangre que corre por sus venas, es sangre criminal de víboras sin alma— asesinaron a calvo sotelo y que en el momento actual, ante las próximas elecciones, estarían dispuestos a realizar cualquier acto criminal contra ✅0️⃣❎. si existiera la justicia, que nunca es igual para todos, pedro sánchez estaría preso a cadena perpetua, por ser el causante general principal de la creación de las preferentes, que han sido la causa de la pérdida o menoscabo de sus ahorros o han fallecido por dicha causa; es persona sin escrúpulos que está donde está por la permisividad otorgada por el maricon y cobarde mayor del reino y el apoyo de toda la extrema-y-asesina izquierda con eta incluida.
avisados estamos y ojalá no ocurra nada, porque este malnacido engendro satánico que tenemos como presidente es capaz de todo lo que ustedes puedan tener por imaginable.
con fe, ilusión, esperanza y todo nuestro cariño y colaboración de apoyo a ✅0️⃣❎, 🇪🇸¡arriba españa!🇪🇸."
64,3,"ves estos reportajes y son bastante lamentables. el desperdicio de dinero público en embarcaciones, helicópteros, funcionarios.. para que sólo puedan perseguirlos y se tengan que conformar y consideren un éxito la operación. y si es que los pillan, el juez de turno los deja libres y apenas tienen consecuencias. tiene que ser además, bastante frustrante y humillante para los agentes (al menos para los que tengan vocación y entren en esos cuerpos siendo ingenuos y creyendo en el sistema) de los diferentes cuerpos. arriesgar e incluso perder la vida en persecuciones. y luego además, los agentes que viven en esas zonas, conviven y se cruzan con los narcos y sus familiares en la puerta del colegio o en el supermercado. teniendo que aguantar amenazas o la simple humillación de ver como su trabajo, el juez se lo pasa por el forro. 
hay funcionarios vagos, sí. y corruptos. ¿pero cuántos de esos lo serán por haberse quemado?. 
y todo por culpa de nuestros políticos, jueces,... ¿muy blandos?? ¿o quizá, tienen algún interés en no ser contundentes con los delincuentes?.. con la corrupción que tenemos, en realidad, no me sorprende.

eso sí, todo mi respeto y admiración por el servicio de vigilancia aduanera, y por el resto de cuerpos policiales (pero solo de los agentes honrados y que mantienen la vocación a pesar de todo). equiparación salarial para los funcionarios del sva, que cobran unos 1400 €"
65,1,mi abuelo tiene la nacionalidad española(la obtuvo a travez de la ley 52/2007). yo puedo solicitarla por ley de memoria democratica y obtenerla directamente de mi abuelo? o la tiene que obtener primero mi madre y luego yo?
65,2,"hola en el caso de ser tataranieto y mi abuelo y mi madre tengan la nacionalidad,  ¿yo puedo sacarla? muchas gracias"
65,3,"buen día, mi bisabuelo eres ciudadano español migro a colombia, y mi abuela, mi madre fallecieron y no solicitaron nacionalidad española, según verifique en el consulado me dicen que hasta este año puedo solicitar la nacionalidad esa cierto eso"
66,1,totalmente de acuerdo
66,2,totalmente de acuerdo
66,3,totalmente de acuerdo
67,1,la ignorancia es lo que tiene.
67,2,lo que reúne la ignorancia
67,3,donde hay toda esta ignorancia?
68,1,que viva la derecha y la libertad
68,2,"la libertad de expresion siempre y cuando tus palabras no hiera a los demas?
es eso libertad d expresion o simplemente libertad de decir lo q queremos escuchar los demas?
d lo contrario seras arrestado?
rpito una vez mas.
es eso libertad de expresion?"
68,3,y había más libertad que ahora
69,1,santiago abascal presidente
69,2,santiago abascal presidente ya!!!
69,3,santiago abascal presidente ❤️💚❤️
70,1,y te pagaste tú lo estudios??
70,2,págate tus estudios.
70,3,"te lo pagaste tú los estudios,,,,???"
71,1,hola como se llama este  pueblo
71,2,hola como se llama el pueblo?
71,3,"hola, como se llama ese pueblo?"
72,1,creo que ya se donde ir a vivir
72,2,por eso me quiero ir a vivir a españa♡♡♡♡
72,3,me gustaría ir a vivir a un pueblo de españa sube más información para llegar a vivir ahí
73,1,*uno ya no puede dormir en paz :v*
73,2,uno ya no puede dormir tranquilito🤣
73,3,no los dajaron dormir jjjjjj
74,1,dónde están los vídeos de la dw que denuncian la discriminación que sufrimos los hombres y mujeres blancos por parte de gente de raza negra???
74,2,dónde están los vídeos de la dw que denuncian la discriminación que sufrimos los hombres por parte de las mujeres lesbianas???
74,3,dónde están los vídeos de la dw que denuncian la discriminación que sufren las mujeres heterosexual por parte de los hombres homosexuales??
75,1,"siempre es lo mismo, una mujer trans interpretada por una actriz cisgenero, que insinúan que no hay actrices trans con talento, o les da penita!!!!"
75,2,lo único criticable es que el papel de duna no lo haya interpretado una verdadera mujer trans a menos que esa actiz sea mujer trans y yo lo ignore
75,3,las personas trans... ;(
76,1,me encanta esta serie
76,2,donde se puede ver la serie
76,3,esta es el 4ta vez que veo  esta serie
77,1,me asustan los comentarios
77,2,telita con los comentarios.
77,3,los comentarios?????????????????????????????
78,1,osea que si tengo carta de invitación también debo tener reserva hotelera? esa es mi duda?
78,2,saludos amigo excelente informacion. una preguta si yo viajo a visitar un familiar pero no tengo carta de invitacion. tengo mi reserva de hotel. pero que debo decir en migracion que voy como turista ??
78,3,yo llegó a madrid y reserva de hotel y solo me quedo unos días yo voy de turismo y viajo a varios paises.seria tonto carta de invitación
79,1,nunca dos actores feos........
79,2,es igual al actor de it
79,3,ella se parece al actor de it
80,1,pero tomatela la tierra es de todos sin fronteras
80,2,en todas las fronteras es lo mismo!!!😔😔😔😔
80,3,fronteras seguras 🇪🇦🇪🇦
81,1,el muro de trump de españa
81,2,y criticaron el muro de trump 😒😒😒🤔
81,3,ese muro no lo tiene ni trump
82,1,"muchos argentinos llegan a españa con nacionalidad italiana, así que más de la mitad de los italianos en sí son argentinos."
82,2,los italianos son en su mayoría argentinos con pasaporte italiano
82,3,"muchos ""italianos"" son argentinos."
83,1,la diferencia es que en hispano américa tienen sangre española.
83,2,"la américa hispana y los españoles,  somos pueblos hermanos por;
mismo idioma, lazos de sangre,  por la constante emigración española a américa durantesiglos,  por eso es un continente mestizo, la religión, llevan nuestros apellidos, nuestras tradiciones, gastronomía y música ha influido en la suya, etc ....
por lo tanto,  la inmigración que necesitamos, es la de nuestros pueblos hermanos."
83,3,"los hispanoamericanos somos descendientes de españa.. orgullosamente compartimos la misma cultura, religión y el idioma. un hispanoamericano en españa o un español en hispanoamericana se siente en su casa. recuerdo que hace no más de 20 años atrás considerábamos a españa como la madre patria.. hasta que llegaron los progres a intentar destruir nuestra identidad y esta unión que nos hace hermanos.  no olvidar que los que los que quedaron en américa fueron españoles y como decía mi abuelo.. la sangre no es agua!!! lastimosamente los procedentes países musulmanes no se adaptan ni lo quieren hacer, ellos tienen la mentalidad de que el otro debe adaptarse a su cultura."
84,1,cómo es que no me recomendó antes esta maravilla youtube.
84,2,por qué apenas me recomendó youtube esta maravilla?
84,3,"adivino, estás aquí porque el algoritmo de youtube te recomendó esto."
85,1,hermosa pareja❤️❤️❤️❤️
85,2,me encanta la pareja...
85,3,adorooo esta pareja :3
86,1,para cuando la segunda parte??
86,2,no hay segunda parte? 😢
86,3,¿ya habrá segunda parte de esto? 🤔
87,1,ojalá chile fuera así...
87,2,ojalá en chile fuera así:c
87,3,fuera godos de chile.
88,1,"dictadura?? mas tontos y no nacéis, no era una dictadura, era un régimen, viva españa viva franco y cristo rey"
88,2,dictadura es lo que tenemos ahora. habia mas democracia en la dictadura
88,3,para dictadura la del sanchismo.
89,1,"-tu bandera tiene una chispa
-ay quítasela quítasela"
89,2,"*vox atope,hasta la bandera!¡*"
89,3,yo pisaría esa bandera arcoris
90,1,"hijo: soy gay

""por comer mucho pollo"""
90,2,soy gay por comer mucho pollo. 😞
90,3,comer pollo te hace gay.
91,1,"i am living in chile (1.5 years now), and i have to say that while i can read, write, and speak spanish, i still can't understand when many chileans speak spanish because the accent is so heavy and unclear.

it is such a relief to be able to hear spanish that i can actually understand for a change :-).

as a gay guy, this video was very touching. thank you everyone for your support."
91,2,"""what resources did spain extract from its colonies?""
i thought: gold
the video: a bit of everything 

fair enough and also true 😅. 

this video was brilliant and really funny. there are so many parts that i loved, like other countries thinking people take their siesta wherever they are 🤣. 

and about the accent, eemm that's not how spanish sound when they speak english. but some of the words you said in spanish were good enough 😊 (sagrada familia)."
91,3,"i hope u did better in the next video cuz u really fail in this one sadly , catalonia , paella and jokes of colonial spain are wrong dudes first there is more people in catalonia calling themselves spanish than catalanes second original paella just have 5 ingredients or bit more and spain didnt has colonies guys it was an empire that was part of spain so sad the worst of this type of videos ended up in my countrie very sad"
92,1,amo esta historia...
92,2,es una historia muy hermosa para mi
92,3,la historia de todos!
